idcarrera,idcohorte,linea_formativa,propuesta,carrera,carrera_siglas,tipo,cohorte_anio,anio,idsede,ifda,ifda_siglas,departamento,iddepartamento,inscriptos,aceptados,aprobados_mi,inician_cursada_seminario,cursantes_t3,cursando_hoy,egresados_intermedio,egresados,aprobados_mi2,tiene_egresados,tiene_egresados_inter,ingresantes
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2016,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,56,23,20,0,20,0,0,0,0,1,0,20
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2018,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,37,0,0,8,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2019,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,12,0,0,4,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2021,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,3,0,0,3,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2022,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,0,0,0,0,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2016,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,92,60,52,0,52,0,0,0,0,1,0,52
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2016,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,23,16,15,0,15,0,0,0,0,1,0,15
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2017,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,,,,0,15,0,0,7,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2018,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,31,0,0,10,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2018,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,,,,0,2,0,0,1,0,1,0,0
