"linea_formativa","propuesta","carrera_siglas","tipo","egresados","anio"
"Formación docente complementaria",NULL,"FORM_SUPTEC","Formación pedagógica (profesorado)","19","2020"
"Formación docente complementaria",NULL,"FORM_SUPFD_INIPRI","Formación pedagógica (profesorado)","6","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIODARWIN","Seminario","84","2020"
"Formación de docentes del nivel de educación secundaria","Acompañamiento a las Trayectorias Escolares en la Educación Secundaria","FORM_ATES","Formación pedagógica (postítulo)","18","2020"
"Formación de docentes del nivel de educación secundaria","Acompañamiento a las Trayectorias Escolares en la Educación Secundaria","ATES_ACT","Trayecto","38","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOCORDOBAZO","Seminario","178","2020"
"Formación de directores y supervisores",NULL,"SEMINARIOGESTION","Seminario","722","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"PYC_ACT","Trayecto","40","2020"
"Formación de directores y supervisores","Diplomatura Superior en Conducción y Gestión Educativa ","GESTIONINI_TDIP","Trayecto","7","2020"
"Formación de directores y supervisores","Diplomatura Superior en Conducción y Gestión Educativa ","GESTIONPRI_TDIP","Trayecto","57","2020"
"Formación de directores y supervisores","Diplomatura Superior en Conducción y Gestión Educativa ","GESTIONSEC_TDIP","Trayecto","19","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOPENSACOM","Seminario","255","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIONARRAHIPER","Seminario","138","2020"
"Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","EDUYMEDIOS19","Trayecto","65","2020"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOMEDIOS","Seminario","8","2020"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ENTRECOLEGAS2020","Seminario","33","2020"
"Formación de docentes en el área de medios y tecnologías",NULL,"TALLERCLASEENPANTUFLAS","Seminario","372","2020"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOCURRICULUMPRI","Seminario","5","2020"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"CICLOLECTURACLASICOS","Seminario","67","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"CONVERSACIONESMATE","Seminario","42","2020"
"Formación docente complementaria",NULL,"FORM_SUPFD_SEC","Formación pedagógica (profesorado)","7","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"HERRAMIENTASDIGITALES","Seminario","108","2020"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ATENEOSOCIALES1","Seminario","52","2020"
"Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","FORM_ADULTOS","Formación pedagógica (postítulo)","1","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"CONVERSACIONESMATE2","Seminario","26","2020"
"Formación de docentes del nivel de educación inicial y primario",NULL,"ATENEOMATEMATICA1","Seminario","70","2020"
"Formación de docentes en el área de medios y tecnologías",NULL,"HERRADIGIJYA","Seminario","65","2020"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI","Trayecto","6","2021"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC","Trayecto","4","2021"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"TUTORES","Seminario","5","2021"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI_ESP","Trayecto","72","2021"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI_ESP","Trayecto","186","2021"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC_ESP","Trayecto","91","2021"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","SOCIALES_ESP","Trayecto","4","2021"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","NATURALES_ESP","Trayecto","3","2021"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","MATEMATICA_ESP","Trayecto","7","2021"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","LENGUA_ESP","Trayecto","13","2021"
"Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","5","2021"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSUP_ESP","Trayecto","15","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOSARMIENTO","Seminario","103","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOESPACIO","Seminario","41","2021"
"Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","EDUYMEDIOS","Trayecto","20","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOBORGES","Seminario","82","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIORANCIERE","Seminario","87","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOMUSICAS","Seminario","42","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_MAT","Profesorado","26","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_BIOL","Profesorado","35","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_FIS","Profesorado","8","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_GEOG","Profesorado","1","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_HIS","Profesorado","3","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_LENGYLIT","Profesorado","9","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_QUIM","Profesorado","40","2021"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_INF","Profesorado","22","2021"
"Formación docente complementaria",NULL,"PROF_INGLES","Profesorado","15","2021"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_MAT","Profesorado","1","2021"
"Formación docente complementaria",NULL,"FORM_SEC","Formación pedagógica (profesorado)","6","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIODARWIN","Seminario","83","2021"
"Formación de docentes del nivel de educación secundaria","Acompañamiento a las Trayectorias Escolares en la Educación Secundaria","FORM_ATES","Formación pedagógica (postítulo)","1","2021"
"Formación de docentes del nivel de educación secundaria","Acompañamiento a las Trayectorias Escolares en la Educación Secundaria","ATES_ACT","Trayecto","5","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOCORDOBAZO","Seminario","123","2021"
"Formación de directores y supervisores",NULL,"SEMINARIOGESTION","Seminario","467","2021"
"Formación de directores y supervisores","Diplomatura Superior en Conducción y Gestión Educativa ","GESTIONPRI_TDIP","Trayecto","12","2021"
